Year,CountyName,Beef Cattle,Hogs,Milk Cattle,Other Cattle,CAP,CGH,CGY,SH,SAP,SY,State,CN_lb/ac,CN,MN,GN,FN,NS
2012,Lyon,16401.0,726730.0,9761.0,148251.0,185000.0,170700.0,161.6,123600.0,124000.0,51.8,IA,88.3202576480069,99.0,112.2,163.1,72.9,121.0
2013,Lyon,16562.87314285714,779498.5588571428,9607.915428571428,152768.52000000002,192500.0,172800.0,190.5,115600.0,116000.0,57.9,IA,84.13274278745547,94.3,117.8,184.4,80.7,108.4
2014,Lyon,16372.509714285716,840493.7382857143,9602.473142857143,157027.48,183000.0,164400.0,172.9,122900.0,123500.0,53.7,IA,71.63123478732267,80.3,124.6,172.2,77.3,110.0
2015,Lyon,15829.909714285714,909715.5382857142,9744.673142857142,161027.87999999998,182000.0,156400.0,196.0,123500.0,124000.0,61.1,IA,76.32192762605436,85.6,131.3,197.2,94.0,113.7
2016,Lyon,14935.073142857145,987163.958857143,10034.51542857143,164769.72,184000.0,172100.0,206.9,121500.0,122000.0,66.1,IA,81.46435198941073,91.3,138.3,207.6,103.2,125.2
2017,Lyon,13688.0,1072839.0,10472.0,168253.0,181000.0,172200.0,218.9,122800.0,123500.0,63.8,IA,83.07039430639246,93.1,146.5,208.9,100.0,130.7
2018,Lyon,12088.690285714287,1166740.6617142858,11057.126857142857,171477.72,184500.0,164200.0,193.0,123100.0,124500.0,60.6,IA,74.95301825135618,84.0,152.4,193.5,92.3,135.2
2019,Lyon,10137.143999999998,1268868.9440000001,11789.896,174443.88,189000.0,164200.0,186.6,110600.0,111500.0,54.8,IA,76.20386616214292,85.4,165.4,177.5,73.4,146.7
1997,O Brien,6411.0,281194.0,779.0,0.0,159900.0,156800.0,140.9,157200.0,158800.0,48.1,,,,24.7,155.8,80.5,
1998,O Brien,6139.118857142857,287781.76342857146,785.3485714285714,0.0,166300.0,164700.0,158.6,153100.0,153500.0,50.7,,,,25.0,166.0,84.3,
1999,O Brien,5927.778285714286,297951.7451428572,759.4228571428571,3841.5999999999904,158000.0,156300.0,170.0,155900.0,156000.0,52.3,,,,27.2,175.4,91.5,
2000,O Brien,5776.978285714286,311703.94514285715,701.2228571428572,16871.60000000001,160000.0,157400.0,151.4,152600.0,153000.0,49.7,,,,31.9,162.2,83.2,
2001,O Brien,5686.718857142858,329038.36342857144,610.7485714285714,28406.400000000005,152000.0,149200.0,151.6,161100.0,162000.0,49.5,,,,36.2,164.6,87.3,
2002,O Brien,5657.0,349955.0,488.0,38446.0,154000.0,149000.0,151.7,152400.0,153000.0,48.4,,,,41.5,160.9,81.3,
2003,O Brien,5687.821714285716,374453.8548571429,332.97714285714295,46990.4,157500.0,151500.0,169.0,158400.0,159000.0,40.6,,,,44.4,150.5,60.8,
2004,O Brien,5779.184000000001,402534.928,145.68000000000006,54039.59999999999,161000.0,157000.0,182.3,148000.0,149000.0,48.6,,,,49.5,171.0,79.0,
2005,O Brien,5909.106285714285,432954.6011428571,0.0,59593.600000000006,163000.0,158500.0,185.0,147900.0,148500.0,57.0,,,,53.1,189.3,100.0,
2006,O Brien,5945.705142857144,458251.1645714286,205.9314285714286,63652.399999999994,164500.0,163200.0,166.0,146200.0,146500.0,57.4,,,,56.5,181.6,99.8,
2007,O Brien,5867.0,477181.0,867.0,66216.0,172500.0,170500.0,167.7,138400.0,138500.0,54.8,,,,59.1,174.2,88.1,
