CountyName,BeefCows,Hogs,MilkCows,OtherCattle,CornAcresPlanted,CornGrainAcresHarvested,CornGrainYield_bupacre,CornSilageAcresHarvested,CornSilageYield_tonspacre,SoybeansAcresHarvested,SoybeansAcresPlanted,SoybeansYield_bupacre,Year,CommercialN_kg_ha,ManureN_kg_ha,GrainN_kg_ha,GrainN_neg_kg_ha,FixatedN_kg_ha,NitrogenSurplus_kg_ha
Washington,10266,1401103,998,9583,120000,117900,214.3,,,90600,93600,61.5,1/1/2018,56.4,171.02,204.78,-204.78,102.54,125.2
Washington,10658,1470158,1064,9482,119000,114400,178.9,,,88700,89600,54.7,1/1/2019,57.02,183.45,177.46,-177.46,84.72,147.7
Dickinson,0,66726,0,18351,94500,92300,157.9,,,79600,80100,44,1/1/2014,63.43,18.5,150.49,-150.49,63.95,-4.6
Dickinson,0,78482,0,18170,93500,91700,194.5,,,79000,79300,56.4,1/1/2015,65.22,20.26,189.73,-189.73,94.74,-9.5
Dickinson,0,90237,0,17990,92000,89000,188,,,79500,79800,56.1,1/1/2016,69.16,21.95,187.47,-187.47,95.13,-1.2
Dickinson,0,101992,0,17809,91000,89800,196.2,,,80000,80400,57.7,1/1/2017,70.34,23.58,193.86,-193.86,100.13,0.2
Dickinson,0,113747,0,17628,90000,86800,160.4,,,85000,86200,49.8,1/1/2018,63.99,24.47,166.07,-166.07,83.53,5.9
Dickinson,0,125502,0,17448,94000,91700,170,,,75100,75600,51.3,1/1/2019,64.89,27.02,168.63,-168.63,79.73,3
Dubuque,13837,138731,20049,98926,146000,133900,184.9,,,38100,38300,55.1,1/1/2014,74.86,95.45,159.15,-159.15,41.44,52.6
Dubuque,14102,139462,20805,97367,150500,137600,197,,,37800,38000,59.1,1/1/2015,80.04,93.62,169.29,-169.29,44.56,48.9
Dubuque,14368,140192,21560,95808,151500,144600,211.5,,,39100,39200,57.8,1/1/2016,84.9,92.84,176.26,-176.26,43.99,45.5
Dubuque,14634,140922,22316,94249,151500,134100,215.1,,,40400,40600,59.6,1/1/2017,86.48,92.46,181.82,-181.82,47.29,44.4
Dubuque,14900,141652,23072,92690,149000,141400,211.8,,,40900,41200,62,1/1/2018,78.97,93.68,181.55,-181.55,51.28,42.4
Dubuque,15166,142382,23827,91131,151000,141300,216.4,,,36100,36500,60.2,1/1/2019,79.75,95.33,180.39,-180.39,44.19,38.9
Webster,0,180795,0,6300,216000,213500,190,,,150500,151500,52.4,1/1/2014,79.73,13.48,175.79,-175.79,76.19,-6.4
Webster,0,178395,0,6491,209500,206000,201,,,157200,158000,54.9,1/1/2015,80.85,13.37,186.71,-186.71,85.27,-7.2
Webster,0,175994,0,6681,230000,227500,200.8,,,144000,144500,58.4,1/1/2016,86.39,13,188.51,-188.51,83.83,-5.3
Webster,0,173594,0,6872,203000,201000,197.9,,,159500,160500,57.9,1/1/2017,88.08,13.28,191.98,-191.98,94.73,4.1
Webster,0,171194,0,7063,200000,193000,188.1,,,155400,157000,51.1,1/1/2018,79.21,13.41,175.28,-175.28,78.18,-4.5
Webster,0,168793,0,7253,209500,207500,202.9,,,145000,146000,49.1,1/1/2019,80.16,13.35,175.39,-175.39,68.57,-13.3
Scott,5267,203732,604,13366,108000,105700,194.5,,,73100,73400,59.7,1/1/2014,61.13,38.33,190.22,-190.22,90.75,0
Scott,4971,221100,573,14077,110500,107500,195.9,,,71600,71900,61.1,1/1/2015,67.53,40.53,192.22,-192.22,91.39,7.2
Scott,4676,238469,543,14789,107000,104500,216,,,71500,71800,64.4,1/1/2016,72.05,43.81,207.6,-207.6,100.27,8.5
Scott,4381,255837,512,15501,108500,106500,220,,,70000,70400,63.4,1/1/2017,73.44,46.24,206.55,-206.55,96.13,9.3
Scott,4086,273205,481,16213,110500,108000,214,,,67600,68600,63.7,1/1/2018,66.26,48.65,203.03,-203.03,94.19,6.1
Scott,3791,290574,451,16925,105500,104100,189.3,,,66800,67300,60.5,1/1/2019,67.02,52.96,187.19,-187.19,89.03,21.8
Muscatine,5509,93155,165,10632,91000,87800,188.1,,,69200,70000,56.7,1/1/2014,55.32,24.68,185.48,-185.48,90.46,-15
Muscatine,5583,90582,160,10055,90000,88100,177.7,,,71200,71500,56.2,1/1/2015,55.45,23.96,180.9,-180.9,90.92,-10.6
Muscatine,5656,88010,154,9478,93000,90800,203,1950,22.5,69400,71600,60.8,1/1/2016,58.99,22.88,198.59,-198.59,100.15,-16.6
Muscatine,5729,85437,149,8901,87000,83700,206.8,,,74300,74700,60.3,1/1/2017,60.03,22.64,203.19,-203.19,105.11,-15.4
Muscatine,5802,82864,144,8324,93000,90600,209.6,,,72100,72600,61.7,1/1/2018,54.29,21.48,204.13,-204.13,103.07,-25.3
Muscatine,5875,80292,138,7747,86500,83800,173.2,,,68300,68800,55.2,1/1/2019,54.9,22.24,177.36,-177.36,88.58,-11.6
Cerro Gordo,0,128438,0,6197,184000,181800,168.3,,,97000,97400,50.2,1/1/2014,83.16,13.04,156.46,-156.46,59.85,-0.4
Cerro Gordo,0,126988,0,6193,163500,160400,196.9,,,113900,114500,58.9,1/1/2015,77.91,13.07,190.55,-190.55,90.59,-9
Cerro Gordo,0,125537,0,6190,177500,174200,193.6,,,97400,98000,58.6,1/1/2016,83.27,13.06,182.42,-182.42,77.66,-8.4
Cerro Gordo,0,124086,0,6186,163500,162500,208.9,,,113400,114000,55.2,1/1/2017,84.9,12.84,188.78,-188.78,82.14,-8.9
Cerro Gordo,0,122635,0,6182,162500,160300,184.4,,,114200,115500,51.7,1/1/2018,76.31,12.69,172.33,-172.33,75.21,-8.1
Cerro Gordo,0,121184,0,6179,173000,169300,191.8,,,102200,103000,52.7,1/1/2019,77.22,12.65,173.97,-173.97,69.57,-14.5
Howard,4227,245899,3089,27524,136500,133300,164.4,,,84600,85000,48.7,1/1/2014,81.72,43.05,155.87,-155.87,63.24,32.1
Howard,4467,270293,3127,26613,126000,119700,202.1,,,94600,94900,59.9,1/1/2015,74.32,45.67,197.42,-197.42,96.82,19.4
Howard,4708,294686,3164,25701,132500,128700,202.2,3600,24.5,85000,85200,56.4,1/1/2016,79.11,48.89,186.75,-186.75,80.79,22
Howard,4949,319079,3201,24790,124000,121000,201.7,,,88800,89300,51.6,1/1/2017,80.55,52.49,180.16,-180.16,75.56,28.4
Howard,5190,343472,3238,23879,131000,126500,185.5,,,86500,87100,53.7,1/1/2018,72.82,53.88,175.46,-175.46,76.61,27.8
